frame,right_shoulder_x,right_shoulder_y,right_elbow_x,right_elbow_y,right_wrist_x,right_wrist_y
0,2545.1597,743.9828,2527.5745,820.6324,2526.6052,878.1593
1,2546.0786,746.91956,2533.0132,825.3327,2537.7603,880.693
2,2547.2578,748.93396,2533.5664,826.64795,2543.588,877.89496
3,2550.1987,746.9352,2537.499,825.4078,2539.8552,879.5116
4,2551.6963,745.43567,2537.268,824.80994,2534.7305,883.19543
5,2553.256,745.0094,2536.3633,824.8416,2535.944,883.29895
6,2552.7153,742.3004,2531.6147,822.0082,2523.8213,880.654
7,2554.9211,742.5636,2532.912,821.549,2521.8652,878.59863
8,2554.744,746.4431,2531.8774,822.8608,2520.4236,874.3374
9,2552.7866,752.34595,2523.2356,821.3694,2514.4814,867.84064
10,2555.2676,756.7286,2524.2112,821.4838,2514.4824,860.2468
11,2560.1846,761.0978,2532.7969,826.2019,2513.2612,850.0199
12,2559.8843,766.4817,2532.834,832.2407,2517.3313,849.28455
13,2562.7432,767.4081,2534.5632,830.4989,2515.4094,847.485
14,2563.9807,766.1946,2534.146,830.1707,2520.975,840.28107
15,2564.948,762.3629,2534.645,824.20654,2520.3257,836.1066
16,2564.8496,757.5476,2530.7798,812.89,2524.275,822.0859
17,2566.3435,755.8767,2533.2517,812.08777,2529.7847,819.08777
18,2566.787,754.88763,2530.7642,809.0495,2529.8748,812.58105
19,2564.179,755.1072,2529.2993,809.95734,2535.1106,813.72876
20,2564.3848,761.41284,2529.6677,814.5621,2537.0278,818.7362
21,2567.4285,768.2115,2532.1167,820.48303,2528.8792,817.5236
22,2561.5,778.643,2533.02,827.8518,2536.1582,820.9777
23,2568.6316,781.8701,2537.6104,834.1544,2531.5415,829.7013
24,2569.6367,783.6449,2540.73,836.66943,2533.3804,838.4332
25,2567.6643,787.4321,2537.0186,841.10986,2529.2805,835.80194
26,2569.3672,783.8293,2538.9941,836.364,2532.7424,836.74036
27,2569.2285,782.74585,2531.282,824.8441,2526.358,827.03375
28,2569.8232,780.65063,2535.0347,826.04175,2528.8389,820.7123
29,2572.319,775.9554,2536.7498,819.74615,2533.6553,807.33655
30,2577.608,775.303,2539.9626,818.0206,2530.4585,799.16345
31,2572.5112,772.78436,2526.292,802.96814,2535.2544,779.7969
32,2574.3535,773.9038,2526.9023,799.58923,2529.8813,773.65045
33,2654.1223,769.527,2636.9534,796.33716,2576.9233,742.44836
34,2664.8442,778.142,2652.128,813.815,2591.2478,760.4724
35,2644.7837,769.4645,2623.4265,793.7192,2576.081,729.18256
36,2632.6194,754.8845,2610.4824,773.82007,2566.772,709.15356
37,2627.211,735.9223,2583.2163,761.61566,2549.648,711.3651
38,2589.2542,719.6085,2546.038,756.8634,2551.0342,714.95325
39,2585.8806,702.42883,2535.2117,714.8337,2553.7642,657.1876
40,2584.4697,691.3481,2529.1428,704.2178,2558.2927,640.14526
41,2591.497,683.36725,2540.0386,694.06335,2540.164,614.0103
42,2604.0835,673.86383,2545.8533,628.4954,2542.8977,526.54785
43,2602.0288,674.64386,2553.6587,656.16693,2556.3257,572.5465
44,2599.8464,677.75073,2557.8042,659.2102,2558.475,575.2889
45,2603.6963,681.9136,2558.4082,663.1934,2558.8386,586.5532
